Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
group_9701,rhaR_1,HTH-type transcriptional activator RhaR,17,17,1,983,18678,29,2,,323,857,785
group_9761,ddpB,"putative D,D-dipeptide transport system permease protein DdpB",17,17,1,983,30183,1,11256,,344,1022,918
group_9834,,hypothetical protein,17,17,1,983,13946,1,5615,,233,236,235
group_9916,,hypothetical protein,17,17,1,983,20908,1,28586,,170,170,170
group_10116,ltxB,Leukotoxin export ATP-binding protein LtxB,16,16,1,983,13874,1,21626,,260,2102,1686
group_10175,rffG_2,"dTDP-glucose 4,6-dehydratase 2",16,16,1,983,10577,1,15434,,188,1004,404
group_10248,hin_1,DNA-invertase hin,16,16,1,983,17729,1,12881,,572,572,572
group_10261,,hypothetical protein,16,16,1,983,13726,1,8667,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,464,677,663
group_1032,,hypothetical protein,16,16,1,983,21455,1,22328,,260,2579,1757
group_10368,,hypothetical protein,16,16,1,983,22672,1,23744,,140,140,140
group_10380,,hypothetical protein,16,16,1,983,23761,1,25854,,1385,1700,1640
group_10461,,hypothetical protein,16,16,1,983,3964,1,23649,,248,248,248
group_10890,sbcB,Exodeoxyribonuclease I,16,16,1,983,10604,1,7303,,1424,1427,1426
group_11034,yebT,Intermembrane transport protein YebT,16,16,1,983,9143,192,1,,326,2633,2328
group_11050,yihP_2,"Putative 2,3-dihydroxypropane-1-sulfonate exporter",16,16,1,983,16451,9,8,,527,1385,1129
group_11154,bioF_2,8-amino-7-oxononanoate synthase,16,16,1,983,4034,1,5984,,344,1172,1120
group_11252,ampG_2,Anhydromuropeptide permease,16,16,1,983,9839,1,23834,,488,1280,997
group_1130,,hypothetical protein,16,16,1,983,2311,1,19509,,770,827,779
group_11362,,hypothetical protein,16,16,1,983,18320,1,13614,,179,383,347
rhaR_7,,HTH-type transcriptional activator RhaR,16,16,1,983,12333,1,21344,,1145,2324,2154
group_11797,allB,Allantoinase,16,16,1,983,20765,1,7554,,365,1364,1298
group_11834,,hypothetical protein,16,16,1,983,12308,1,8402,,200,878,835
group_12093,cpdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase",16,16,1,983,2776,32,2,,272,1943,1107
group_12137,appB,Cytochrome bd-II ubiquinol oxidase subunit 2,16,16,1,983,28459,179,2,,182,1136,965
group_1228,nohA_2,Prophage DNA-packing protein NohA,16,16,1,983,22640,1,22214,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,224,1151,553
group_12405,,hypothetical protein,16,16,1,983,5021,1,3606,,359,362,359
group_1276,,hypothetical protein,16,16,1,983,33720,1,12224,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,317,935,794
group_1291,,IS3 family transposase IS629,16,16,1,983,2653,1,8196,,887,887,887
group_12940,rob_3,Right origin-binding protein,16,16,1,983,8116,1,10841,,377,836,807
flmC_1,,Protein FlmC,16,16,1,983,120,1,14519,,215,239,216
group_12960,,hypothetical protein,16,16,1,983,14137,1,20799,,464,761,553
group_13117,,hypothetical protein,16,16,1,983,7168,1,3741,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,239,311,304
group_13134,,hypothetical protein,16,16,1,983,13827,1,8880,,149,257,209
group_13143,,hypothetical protein,16,16,1,983,321,1,19992,,500,1520,1448
group_13180,,hypothetical protein,16,16,1,983,12296,1,8444,,587,587,587
group_13229,,hypothetical protein,16,16,1,983,33764,1,19554,,221,221,221
group_13334,,hypothetical protein,16,16,1,983,18456,1,7442,,299,374,365
group_13433,,hypothetical protein,16,16,1,983,33015,1,10328,,416,416,416
group_13460,,hypothetical protein,16,16,1,983,13682,1,8864,,380,602,479
group_13516,,hypothetical protein,16,16,1,983,25937,1,1112,,1316,2477,2404
group_13692,sad,Succinate semialdehyde dehydrogenase [NAD(P)+] Sad,16,16,1,983,23166,249,1,,479,1388,1331
group_14022,rlmB,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,16,16,1,983,5772,74,6,,203,731,698
hdfR_3,,HTH-type transcriptional regulator HdfR,16,16,1,983,496,1,19375,,242,785,331
group_14097,,hypothetical protein,16,16,1,983,33506,1,11018,,392,392,392
group_14152,,hypothetical protein,16,16,1,983,25306,196,1,,404,1532,1391
group_14435,,hypothetical protein,16,16,1,983,17256,1,17473,,689,1157,1106
aacA4,,Aminoglycoside N(6')-acetyltransferase type 1,16,16,1,983,813,1,16909,,497,599,547
group_14768,,hypothetical protein,16,16,1,983,15010,1,28885,,773,773,773
group_14837,,hypothetical protein,16,16,1,983,665,1,16845,,359,1034,991
group_14870,,hypothetical protein,16,16,1,983,6618,1,2452,,125,134,131
bshA,,N-acetyl-alpha-D-glucosaminyl L-malate synthase,16,16,1,983,16198,1,5087,,374,1169,1022
group_15048,,hypothetical protein,16,16,1,983,16174,1,5544,,470,1178,1082
group_15085,phnO,Aminoalkylphosphonate N-acetyltransferase,16,16,1,983,2874,6,17,,182,434,418
group_15249,ydeO_2,HTH-type transcriptional regulator YdeO,16,16,1,983,5626,1,17864,,599,758,748
group_15374,,hypothetical protein,16,16,1,983,14958,1,28981,,893,893,893
group_15505,,hypothetical protein,16,16,1,983,31759,1,10627,,314,314,314
group_15506,,hypothetical protein,16,16,1,983,18256,1,10626,,377,653,394
group_15535,,hypothetical protein,16,16,1,983,29889,1,29235,,728,728,728
group_15612,,hypothetical protein,16,16,1,983,4012,1,2751,,458,878,851
faeE_1,,Chaperone protein FaeE,16,16,1,983,1280,1,18834,,668,692,690
group_1563,rhsD_2,hypothetical protein,16,16,1,983,27392,1,13838,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,443,4208,1663
group_15653,,hypothetical protein,16,16,1,983,26372,1,24984,,224,224,224
group_15687,,hypothetical protein,16,16,1,983,32349,1,16076,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,848,1532,1485
group_15705,der_2,hypothetical protein,16,16,1,983,5566,1,17883,,1358,1733,1451
group_15733,,hypothetical protein,16,16,1,983,7935,1,8062,,188,188,188
group_16330,,hypothetical protein,16,16,1,983,14243,1,20876,,386,386,386
group_16523,,hypothetical protein,16,16,1,983,22367,1,26441,,815,815,815
group_16530,,hypothetical protein,16,16,1,983,473,1,19453,,350,491,367
group_16602,,hypothetical protein,16,16,1,983,20199,1,3517,,203,203,203
group_16617,,hypothetical protein,16,16,1,983,22165,1,26261,,311,332,312
group_16618,,hypothetical protein,16,16,1,983,22157,1,26260,,491,491,491
group_16622,,hypothetical protein,16,16,1,983,22148,1,26252,,215,215,215
group_16933,,hypothetical protein,16,16,1,983,18312,1,13637,,266,266,266
group_17016,,hypothetical protein,16,16,1,983,17701,1,12645,,299,1103,1052
group_17017,,hypothetical protein,16,16,1,983,17702,1,12646,,347,347,347
group_17095,,hypothetical protein,16,16,1,983,20259,1,20760,,245,287,250
group_17194,,hypothetical protein,16,16,1,983,11053,1,2080,,311,332,313
group_17195,,hypothetical protein,16,16,1,983,11063,1,2090,,311,311,311
group_17245,ompD_1,Outer membrane porin protein OmpD,16,16,1,983,17516,1,12630,,1112,1115,1112
group_17291,,hypothetical protein,16,16,1,983,15044,1,28920,,395,941,906
group_17428,,hypothetical protein,16,16,1,983,14138,1,20800,,263,263,263
group_17443,,hypothetical protein,16,16,1,983,16983,1,25803,,245,245,245
group_17572,,hypothetical protein,16,16,1,983,35443,1,14931,,635,851,810
group_17684,,hypothetical protein,16,16,1,983,34630,1,11657,,89,839,792
group_17819,mchI,Microcin H47 immunity protein MchI,16,16,1,983,13869,1,21630,,209,209,209
group_17845,,hypothetical protein,16,16,1,983,23060,1,4146,,242,242,242
group_17860,,hypothetical protein,16,16,1,983,33325,1,11319,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,260,260,260
group_18055,,hypothetical protein,16,16,1,983,15271,1,29678,,629,629,629
group_18139,,hypothetical protein,16,16,1,983,21773,1,24555,,398,398,398
group_18224,,hypothetical protein,16,16,1,983,22757,1,2145,,464,464,464
group_18225,,hypothetical protein,16,16,1,983,22724,1,22114,,368,401,378
group_18447,,hypothetical protein,16,16,1,983,14281,1,20932,,467,479,477
group_18563,,hypothetical protein,16,16,1,983,21478,1,23402,,188,188,188
group_18564,,hypothetical protein,16,16,1,983,21479,1,23403,,305,305,305
group_18729,,hypothetical protein,16,16,1,983,29318,1,23115,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,197,260,232
group_18765,,hypothetical protein,16,16,1,983,3965,1,23644,,578,650,596
group_18766,,hypothetical protein,16,16,1,983,3988,1,17846,,578,578,578
group_18767,,hypothetical protein,16,16,1,983,18110,1,13671,,215,215,215
faeE_2,,Chaperone protein FaeE,16,16,1,983,1263,1,17396,,704,728,707
group_18795,ybdM_2,putative protein YbdM,16,16,1,983,31567,1,18508,,260,638,614
group_18865,,hypothetical protein,16,16,1,983,12692,1,23577,,380,380,380
group_18919,,Putative tyrosine-protein kinase in cps region,16,16,1,983,16224,1,5015,,1481,2162,2119
group_19043,intA_1,Prophage integrase IntA,16,16,1,983,16751,1,24874,,1220,1220,1220
group_1910,,hypothetical protein,16,16,1,983,32690,1,9362,,434,434,434
group_19117,,IS4 family transposase ISLpn6,16,16,1,983,18103,1,18505,,938,1415,1385
group_19158,,hypothetical protein,16,16,1,983,12708,1,23460,,632,773,728
group_19167,,hypothetical protein,16,16,1,983,12339,1,21349,,458,563,556
group_19360,,hypothetical protein,16,16,1,983,26396,1,24968,,671,671,671
group_19364,,hypothetical protein,16,16,1,983,16945,1,25639,,203,203,203
group_19422,dnaT_2,Primosomal protein 1,16,16,1,983,23240,1,26739,,374,1031,989
group_20175,,hypothetical protein,16,16,1,983,469,1,19450,,278,278,278
group_20177,,hypothetical protein,16,16,1,983,472,1,19452,,527,527,527
group_20224,,hypothetical protein,16,16,1,983,22153,1,26257,,224,224,224
group_20225,,hypothetical protein,16,16,1,983,22151,1,26255,,311,311,311
group_20254,,hypothetical protein,16,16,1,983,10810,1,7880,,224,224,224
group_20305,,hypothetical protein,16,16,1,983,17257,1,17474,,140,140,140
group_20306,,hypothetical protein,16,16,1,983,17255,1,17472,,158,158,158
cmlA1,,chloramphenicol efflux MFS transporter CmlA1,16,16,1,983,618,1,16899,,1259,1259,1259
ghoS_2,,Endoribonuclease antitoxin GhoS,16,16,1,983,8371,1,4732,,275,275,275
group_20421,,hypothetical protein,16,16,1,983,23299,1,27088,,200,200,200
group_20502,,hypothetical protein,16,16,1,983,34575,1,11510,,170,170,170
group_20782,,hypothetical protein,16,16,1,983,17700,1,12644,,578,578,578
group_20841,,hypothetical protein,16,16,1,983,35089,1,20082,,398,398,398
group_20885,,hypothetical protein,16,16,1,983,34184,1,9750,,284,284,284
group_20912,,hypothetical protein,16,16,1,983,24215,1,26940,,2069,2069,2069
group_20921,,hypothetical protein,16,16,1,983,22361,1,26429,,308,308,308
group_21152,,hypothetical protein,16,16,1,983,11678,1,19784,,563,563,563
group_21219,,hypothetical protein,16,16,1,983,11054,1,2081,,506,506,506
group_21220,,hypothetical protein,16,16,1,983,11055,1,2082,,674,674,674
group_21221,,hypothetical protein,16,16,1,983,11056,1,2083,,281,281,281
group_21222,,hypothetical protein,16,16,1,983,11057,1,2084,,377,377,377
group_21223,,hypothetical protein,16,16,1,983,11058,1,2085,,143,143,143
group_21224,,hypothetical protein,16,16,1,983,11059,1,2086,,635,635,635
group_21225,,hypothetical protein,16,16,1,983,11060,1,2087,,272,272,272
group_21226,noc_1,Nucleoid occlusion protein,16,16,1,983,11061,1,2088,,1181,1181,1181
soj,,Sporulation initiation inhibitor protein Soj,16,16,1,983,11062,1,2089,,785,785,785
group_21236,,hypothetical protein,16,16,1,983,11602,1,19749,,497,497,497
group_21237,,hypothetical protein,16,16,1,983,11603,1,19750,,488,488,488
group_21238,,hypothetical protein,16,16,1,983,11604,1,19751,,335,335,335
group_21241,,hypothetical protein,16,16,1,983,11607,1,19756,,194,194,194
group_21647,,hypothetical protein,16,16,1,983,1575,1,18927,,116,116,116
group_21648,,hypothetical protein,16,16,1,983,1569,1,18935,,98,98,98
group_21761,,hypothetical protein,16,16,1,983,59,1,14487,,176,176,176
group_2178,,hypothetical protein,16,16,1,983,21366,1,24546,,290,740,695
group_21791,,hypothetical protein,16,16,1,983,666,1,16848,,314,314,314
group_21825,,hypothetical protein,16,16,1,983,1748,1,17430,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,152,152,152
group_21832,,hypothetical protein,16,16,1,983,14764,1,448,,467,467,467
group_21858,,hypothetical protein,16,16,1,983,12216,1,21472,,185,185,185
group_21863,,hypothetical protein,16,16,1,983,12178,1,18895,,326,326,326
group_2200,,hypothetical protein,16,16,1,983,23633,1,20581,,719,1157,1129
group_22041,,hypothetical protein,16,16,1,983,14866,1,29094,,161,161,161
group_22110,,hypothetical protein,16,16,1,983,35214,1,15220,,356,356,356
group_22153,,hypothetical protein,16,16,1,983,5513,1,17191,,2057,2057,2057
group_22154,,hypothetical protein,16,16,1,983,5520,1,17190,,1286,1286,1286
group_22256,pir,PI protein,16,16,1,983,31433,1,14431,,872,872,872
group_22280,,hypothetical protein,16,16,1,983,12272,1,21481,,116,116,116
group_22325,,hypothetical protein,16,16,1,983,16196,1,4628,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,1190,1190,1190
murJ_3,,lipid II flippase MurJ,16,16,1,983,35434,1,14923,,1487,1487,1487
group_2255,,hypothetical protein,16,16,1,983,13956,1,8888,,623,623,623
group_22843,,hypothetical protein,16,16,1,983,8240,1,21500,,353,353,353
group_2288,,hypothetical protein,16,16,1,983,7871,1,3953,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,173,509,444
group_2302,,hypothetical protein,16,16,1,983,1184,1,18796,,164,356,344
group_23100,,hypothetical protein,16,16,1,983,35058,1,20015,,242,242,242
group_23107,,hypothetical protein,16,16,1,983,10680,1,3876,,311,311,311
group_23306,,hypothetical protein,16,16,1,983,23044,1,4148,,341,341,341
group_23308,,hypothetical protein,16,16,1,983,23043,1,4154,,1094,1094,1094
group_23323,,hypothetical protein,16,16,1,983,1137,1,18441,,149,149,149
group_23354,,hypothetical protein,16,16,1,983,35607,1,14828,,497,497,497
group_2369,,hypothetical protein,16,16,1,983,23902,1,25325,,245,530,509
group_23825,,hypothetical protein,16,16,1,983,24598,1,28048,,188,188,188
group_23854,,hypothetical protein,16,16,1,983,16792,1,20546,,254,254,254
group_23867,,hypothetical protein,16,16,1,983,33749,1,19557,,212,212,212
group_23868,,hypothetical protein,16,16,1,983,33750,1,19558,,224,224,224
group_23869,,hypothetical protein,16,16,1,983,33751,1,19559,,266,266,266
group_2408,rusA_2,Crossover junction endodeoxyribonuclease RusA,16,16,1,983,12859,1,23655,,365,377,365
group_2412,rusA_1,Crossover junction endodeoxyribonuclease RusA,16,16,1,983,12862,1,26683,,263,377,363
group_24323,,hypothetical protein,16,16,1,983,35020,1,20036,,209,209,209
group_24324,,hypothetical protein,16,16,1,983,1145,1,18454,,119,119,119
group_24475,,hypothetical protein,16,16,1,983,27747,1,22775,,335,335,335
group_250,,hypothetical protein,16,16,1,983,6783,1,7209,,140,821,608
group_2564,,hypothetical protein,16,16,1,983,14446,1,20724,,92,521,355
group_25693,,hypothetical protein,16,16,1,983,653,1,16830,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,284,284,284
group_25694,,hypothetical protein,16,16,1,983,654,1,16831,,296,296,296
group_2607,,hypothetical protein,16,16,1,983,31323,1,9512,,191,596,565
group_26296,,hypothetical protein,16,16,1,983,2830,1,2611,,488,488,488
group_26849,,hypothetical protein,16,16,1,983,10239,1,15552,,1001,1001,1001
group_26860,,hypothetical protein,16,16,1,983,3858,1,8458,,383,383,383
group_27156,,hypothetical protein,16,16,1,983,1368,1,10008,,176,176,176
group_27677,,hypothetical protein,16,16,1,983,15158,1,29821,,452,452,452
group_27790,,hypothetical protein,16,16,1,983,26367,1,24938,,200,200,200
group_28029,etp_2,Low molecular weight protein-tyrosine-phosphatase Etp,16,16,1,983,16225,1,5016,,437,437,437
group_28056,,hypothetical protein,16,16,1,983,31268,1,9530,,284,284,284
group_2808,,hypothetical protein,16,16,1,983,12268,1,21372,,566,566,566
group_28812,,hypothetical protein,16,16,1,983,2708,1,8225,,173,173,173
higB,,Endoribonuclease HigB,16,16,1,983,34718,1,11740,,281,281,281
ylcJ,,Protein YlcJ,16,16,1,983,20814,1,21964,,137,137,137
group_29652,,hypothetical protein,16,16,1,983,27733,1,22722,,1034,1034,1034
group_29779,,hypothetical protein,16,16,1,983,12707,1,23459,,194,194,194
group_3156,,hypothetical protein,16,16,1,983,21769,1,22232,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,395,1319,695
group_3301,,IS66 family transposase ISEc49,16,17,1.07,983,3909,1,18595,,194,1505,764
group_3380,,hypothetical protein,16,16,1,983,2130,1,19088,,257,347,303
group_3508,,hypothetical protein,16,16,1,983,14386,1,20736,,551,557,554
cdiA1_1,,tRNA nuclease CdiA,16,16,1,983,11292,1,8753,,479,9065,6304
group_3553,,IS3 family transposase IS3,16,16,1,983,28494,1,10794,,152,1073,488
group_360,,hypothetical protein,16,16,1,983,13718,1,8662,,242,2276,413
group_364,cdiA_2,hypothetical protein,16,16,1,983,13815,1,18715,,533,3800,1707
group_3662,,IS3 family transposase IS3411,16,16,1,983,13714,1,8195,,326,326,326
group_371,cbeA_1,Cytoskeleton bundling-enhancing antitoxin CbeA,16,16,1,983,10690,1,7801,,353,377,367
group_3771,rusA_3,Crossover junction endodeoxyribonuclease RusA,16,16,1,983,14161,1,20428,,239,389,379
group_3893,,hypothetical protein,16,20,1.25,983,21335,1,24550,,395,395,395
group_3951,,hypothetical protein,16,16,1,983,5663,1,17718,,518,1043,964
group_3972,,hypothetical protein,16,16,1,983,20509,1,18165,,482,2297,1501
group_4153,,hypothetical protein,16,16,1,983,1076,1,17055,,143,413,363
group_427,cdiA_3,hypothetical protein,16,25,1.57,983,13796,1,8460,,242,10034,2545
group_4405,ydgA_2,Protein YdgA,16,16,1,983,16460,1,14088,,677,1277,1089
group_4499,,hypothetical protein,16,16,1,983,9982,1,6799,,167,758,562
group_452,cdiA_3,hypothetical protein,16,16,1,983,11086,1,8673,,512,3407,899
group_460,cbtA_2,Cytoskeleton-binding toxin CbtA,16,16,1,983,10725,1,3052,,374,377,376
group_4672,,hypothetical protein,16,16,1,983,492,1,19285,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,491,1649,833
group_4953,,hypothetical protein,16,16,1,983,2322,1,9600,,419,419,419
group_5280,,hypothetical protein,16,16,1,983,28464,1,16515,,95,2096,1280
group_5299,,hypothetical protein,16,16,1,983,14408,1,20688,,257,824,578
group_5485,,hypothetical protein,16,16,1,983,21049,1,812,,281,290,284
group_5563,,hypothetical protein,16,16,1,983,26767,82,1,,635,1244,994
group_5688,,hypothetical protein,16,16,1,983,25424,1,24141,,155,155,155
group_575,tfaE_2,Prophage tail fiber assembly protein TfaE,16,16,1,983,14732,1,21844,,233,584,411
tnpA,,IS4 family transposase ISEc13,16,16,1,983,34304,1,10026,,218,1148,651
group_5771,parM_1,Plasmid segregation protein ParM,16,16,1,983,23741,1,25817,,959,959,959
group_5843,pgaB,"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase",16,16,1,983,28497,1,10796,,554,2066,1605
group_6010,,hypothetical protein,16,16,1,983,21414,1,22290,,365,434,369
group_6049,,hypothetical protein,16,16,1,983,21803,1,22153,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,173,578,372
group_6105,focC_1,Chaperone protein FocC,16,16,1,983,22968,1,4268,,134,710,607
group_6289,,Tn3 family transposase,16,16,1,983,33372,1,11178,,1394,2828,2738
group_6479,,hypothetical protein,16,16,1,983,16586,1,27695,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,224,446,237
tibA,,Adhesin/invasin TibA autotransporter,16,16,1,983,3888,1,17909,,488,3005,2712
group_6741,,hypothetical protein,16,16,1,983,22725,1,22116,,1028,1028,1028
group_6756,,hypothetical protein,16,16,1,983,31937,119,2,,707,1505,1126
group_6762,papC_4,Outer membrane usher protein PapC,16,16,1,983,12326,1,8446,,2546,2579,2567
group_7039,,ISNCY family transposase ISBcen27,16,16,1,983,1606,1,18295,,803,866,862
group_7085,,hypothetical protein,16,19,1.19,983,21305,1,25141,,332,332,332
group_7095,,hypothetical protein,16,16,1,983,21770,1,22233,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,332,332,332
group_7104,,hypothetical protein,16,16,1,983,21776,1,24578,,332,332,332
group_7117,,hypothetical protein,16,16,1,983,15384,1,506,,440,443,440
group_7211,,hypothetical protein,16,16,1,983,13844,1,8362,,347,392,389
group_7224,,hypothetical protein,16,16,1,983,28431,1,27847,,182,188,182
group_733,ompX_3,Outer membrane protein X,16,16,1,983,22905,1,1572,,254,599,565
group_7351,,hypothetical protein,16,16,1,983,15160,1,29807,,497,881,599
group_7496,,hypothetical protein,16,16,1,983,14381,1,20823,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,368,992,881
group_7592,,hypothetical protein,16,16,1,983,16642,1,27548,,224,224,224
group_7603,cutC_2,Choline trimethylamine-lyase,16,16,1,983,27343,90,1,,257,2297,1492
group_7606,yihQ,Sulfoquinovosidase,16,16,1,983,16484,9,5,,641,2036,1794
group_7681,,hypothetical protein,16,16,1,983,25536,1,9104,,392,2366,2160
group_7722,epsE_2,Type II secretion system protein E,16,16,1,983,4027,1,2665,,167,1493,1167
group_7738,,hypothetical protein,16,16,1,983,11385,1,8843,,305,326,306
group_7886,rop,Regulatory protein rop,16,16,1,983,34720,1,11742,,194,260,198
group_7888,,hypothetical protein,16,16,1,983,9471,1,25572,,608,1052,1003
intS_4,,hypothetical protein,16,16,1,983,25723,1,28312,,470,1229,1128
group_8013,,hypothetical protein,16,16,1,983,3966,1,23643,,158,725,665
group_8209,,hypothetical protein,16,16,1,983,2352,1,16353,,233,233,233
group_8252,,hypothetical protein,16,16,1,983,2856,17,5,,224,1016,872
group_8387,,hypothetical protein,16,16,1,983,31076,1,16447,,1274,2822,1821
group_846,,hypothetical protein,16,16,1,1309,1,1923,1,Investigate,197,458,266
group_8546,,hypothetical protein,16,16,1,983,12026,1,1648,,212,770,630
group_856,,hypothetical protein,16,16,1,983,29048,1,27468,,2282,2297,2286
group_8628,,hypothetical protein,16,16,1,983,12711,1,23463,,344,344,344
group_8634,,hypothetical protein,16,16,1,983,12604,1,23532,,947,947,947
group_8789,ttgI,Toluene efflux pump outer membrane protein TtgI,16,16,1,983,16816,1,24432,,512,1436,1206
group_8897,,hypothetical protein,16,16,1,983,10636,1,7832,,164,608,191
yraJ_1,,Outer membrane usher protein YraJ,16,16,1,983,4367,1206,1,,704,2516,1410
group_8964,,hypothetical protein,16,16,1,983,12144,1,19340,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,149,149,149
group_9019,pndA,Protein PndA,16,16,1,983,35061,1,20031,,152,152,152
group_9091,,hypothetical protein,16,16,1,983,17515,1,13491,,89,557,469
group_9127,,hypothetical protein,16,16,1,983,22620,1,28518,,431,1301,1193
group_9163,,hypothetical protein,16,16,1,983,6750,1,7873,,488,488,488
group_9174,,hypothetical protein,16,16,1,983,28075,1,22668,,200,200,200
group_9255,,hypothetical protein,16,16,1,983,20163,1,3571,,1421,1466,1426
group_9285,,hypothetical protein,16,16,1,983,11396,1,17137,,257,257,257
group_9307,,hypothetical protein,16,16,1,983,17725,1,12848,,245,995,518
group_9475,allD,Ureidoglycolate dehydrogenase (NAD(+)),16,16,1,983,30796,1,24817,,371,1049,993
group_9639,,hypothetical protein,16,16,1,983,4504,1,12854,,608,1064,1007
group_9660,,hypothetical protein,16,16,1,983,33527,1,11017,,938,1418,1297
group_9711,,hypothetical protein,16,16,1,983,6647,1,2506,,608,2075,1911
group_976,,IS66 family transposase ISEc8,16,16,1,983,2112,1,17016,,479,1406,1106
group_9872,,hypothetical protein,16,16,1,983,6835,1,7136,,206,206,206
group_993,,IS66 family transposase ISEc8,16,16,1,983,8345,1,4003,,251,1262,699
group_9934,,hypothetical protein,16,16,1,983,10822,1,2370,,332,605,585
group_1,,hypothetical protein,15,15,1,983,24094,1,24448,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,500,3479,2273
group_10105,,hypothetical protein,15,15,1,983,2408,1,9210,,761,1124,1099
group_10158,,hypothetical protein,15,15,1,983,35573,1,15153,,215,404,391
group_10227,,hypothetical protein,15,15,1,983,33900,1,10343,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,380,608,395
group_10303,,hypothetical protein,15,15,1,983,19907,1,3310,,1028,1028,1028
dgcT_2,,putative diguanylate cyclase DgcT,15,15,1,983,5628,1,17869,,482,1421,1239
group_10361,,hypothetical protein,15,15,1,983,23347,1,26743,,716,716,716
group_10409,,hypothetical protein,15,15,1,983,19881,1,2444,,191,593,563
group_10491,,hypothetical protein,15,15,1,983,24668,1,1254,,428,428,428
group_10621,tyrR,Transcriptional regulatory protein TyrR,15,15,1,983,26322,13,11,,782,1541,1345
group_10782,flgE,Flagellar hook protein FlgE,15,15,1,983,25639,244,2,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,155,1205,1047
group_10843,,hypothetical protein,15,15,1,983,13308,1,23358,,425,425,425
group_1087,,hypothetical protein,15,15,1,983,14429,1,20719,,548,944,688
group_10911,narL_2,Nitrate/nitrite response regulator protein NarL,15,15,1,983,25295,115,3,,146,650,380
group_11048,yihP_2,"Putative 2,3-dihydroxypropane-1-sulfonate exporter",15,15,1,983,16452,9,2,,128,1403,1226
group_11131,glcB,Malate synthase G,15,15,1,983,4031,1,2642,,407,2171,1992
group_1117,,hypothetical protein,15,15,1,983,21595,1,1356,,554,599,580
ant1_1,,Streptomycin 3''-adenylyltransferase,15,15,1,983,617,1,16898,,416,779,754
group_11329,,hypothetical protein,15,15,1,983,7062,1,19282,,431,569,559
group_11366,,hypothetical protein,15,15,1,983,35616,1,14760,,515,515,515
group_11396,,hypothetical protein,15,15,1,983,17539,1,12652,,887,3212,2573
group_11714,,hypothetical protein,15,15,1,983,20958,1,785,,98,239,120
group_11742,,hypothetical protein,15,15,1,983,19886,1,2448,,2330,2333,2332
group_11750,,hypothetical protein,15,15,1,983,35269,1,15231,,407,821,713
group_11756,,hypothetical protein,15,15,1,983,18403,1,7381,,2519,4727,4578
group_11765,,hypothetical protein,15,15,1,983,28681,1,27185,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,245,245,245
group_11806,,hypothetical protein,15,15,1,983,4001,1,17857,,497,497,497
group_11839,,hypothetical protein,15,15,1,983,13343,1,23325,,281,443,432
